,ts_code,symbol,name,industry,COL_CONTINUOUS_POSITIVE_COUNT,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
10,300073.SZ,300073,当升科技,矿物制品,7.0,208.34,"泰达宏利基金-民生银行-泰达宏利价值成长定向增发755号
中国建设银行股份有限公司-富国中证新能源汽车指数分级证券投资基金
中国建设银行股份有限公司-景顺长城环保优势股票型证券投资基金
中国工商银行股份有限公司-中欧时代先锋股票型发起式证券投资基金
中国建设银行股份有限公司-华夏能源革新股票型证券投资基金
中国工商银行股份有限公司-景顺长城创新成长混合型证券投资基金
中国银行股份有限公司-景顺长城优选混合型证券投资基金
中国银行股份有限公司-华夏中证新能源汽车交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)",9.0
11,300091.SZ,300091,金通灵,机械基件,7.0,48.82,"上海滚石投资管理有限公司-滚石3号运能能源股权投资基金
鹏华资产-浦发银行-上海爱建信托-爱建信托-浦发金通定增2号集合资金信托计划",2.0
12,300124.SZ,300124,汇川技术,电器仪表,7.0,1112.34,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
招商银行股份有限公司-泓德丰润三年持有期混合型证券投资基金
招商银行股份有限公司-兴全合宜灵活配置混合型证券投资基金(LOF)",4.0
13,300434.SZ,300434,金石亚药,化学制药,7.0,29.05,,0.0
14,601865.SH,601865,福莱特,玻璃,7.0,118.7,"香港中央结算有限公司(陆股通)
全国社保基金一一四组合",2.0
15,002884.SZ,002884,凌霄泵业,专用机械,7.0,52.81,"大成基金管理有限公司-社保基金1101组合
大成基金管理有限公司-社保基金17011组合
中国银行股份有限公司-大成优势企业混合型证券投资基金
中国农业银行股份有限公司-大成高新技术产业股票型证券投资基金
中国工商银行股份有限公司-中欧远见两年定期开放混合型证券投资基金",5.0
16,601012.SH,601012,隆基股份,电气设备,7.0,2481.31,"招商银行股份有限公司-兴全合宜灵活配置混合型证券投资基金(LOF)
香港中央结算有限公司(陆股通)
西部信托有限公司-西部信托·陕煤-朱雀产业投资单一资金信托
中央汇金资产管理有限责任公司",4.0
17,300274.SZ,300274,阳光电源,电气设备,7.0,488.43,"中央汇金资产管理有限责任公司
全国社保基金一一八组合
中国农业银行股份有限公司-嘉实环保低碳股票型证券投资基金
中国工商银行股份有限公司-易方达创业板交易型开放式指数证券投资基金
全国社保基金四一三组合
香港中央结算有限公司(陆股通)
安徽安元投资基金有限公司",7.0
18,300399.SZ,300399,天利科技,互联网,7.0,29.81,,0.0
19,300410.SZ,300410,正业科技,电器仪表,7.0,33.71,"中央汇金资产管理有限责任公司
深圳平安汇通投资-包商银行-中融国际信托-中融-恒融5号单一资金信托",2.0
20,000301.SZ,000301,东方盛虹,化纤,7.0,118.89,"香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金",2.0
21,300825.SZ,300825,阿尔特,汽车服务,7.0,22.61,,0.0
22,300726.SZ,300726,宏达电子,元器件,7.0,48.8,"前海股权投资基金(有限合伙)
天津宏湘资产管理合伙企业(有限合伙)
前海方舟资产管理有限公司
天津宏津资产管理合伙企业(有限合伙)
香港中央结算有限公司(陆股通)",5.0
23,300708.SZ,300708,聚灿光电,半导体,7.0,59.16,"中国工商银行股份有限公司-嘉实企业变革股票型证券投资基金
中国工商银行股份有限公司-南方大数据100指数证券投资基金
交通银行股份有限公司-泰达宏利价值优化型成长类行业混合型证券投资基金",3.0
24,300008.SZ,300008,天海防务,船舶,7.0,53.13,,0.0
25,300660.SZ,300660,江苏雷利,电气设备,7.0,25.07,"深圳市星森资产管理有限公司-星森二期私募基金
上海浦东发展银行股份有限公司-国泰中证全指家用电器交易型开放式指数证券投资基金",2.0
26,002802.SZ,002802,洪汇新材,化工原料,7.0,16.35,,0.0
27,603486.SH,603486,科沃斯,家用电器,7.0,128.79,"中国建设银行股份有限公司-富国国家安全主题混合型证券投资基金
招商银行股份有限公司-兴全合宜灵活配置混合型证券投资基金(LOF)
中国工商银行-上投摩根内需动力股票型证券投资基金
中国光大银行股份有限公司-兴全商业模式优选混合型证券投资基金(LOF)
香港中央结算有限公司(陆股通)
招商银行股份有限公司-兴全合润分级混合型证券投资基金",6.0
28,603355.SH,603355,莱克电气,家用电器,7.0,144.44,"中国工商银行股份有限公司-南方大数据100指数证券投资基金
香港中央结算有限公司(陆股通)
基本养老保险基金一一零一组合
全国社保基金四零四组合",4.0
29,002709.SZ,002709,天赐材料,化工原料,7.0,273.58,"全国社保基金一零八组合
中央汇金资产管理有限责任公司
中国农业银行股份有限公司-华安智能生活混合型证券投资基金
中国建设银行股份有限公司-博时主题行业混合型证券投资基金(LOF)
中国工商银行股份有限公司-华安媒体互联网混合型证券投资基金
中国银行股份有限公司-华夏中证新能源汽车交易型开放式指数证券投资基金",6.0
30,002027.SZ,002027,分众传媒,影视音像,7.0,1438.43,"香港中央结算有限公司(陆股通)
中国工商银行股份有限公司-东方红沪港深灵活配置混合型证券投资基金
中国工商银行股份有限公司-华安媒体互联网混合型证券投资基金",3.0
31,688188.SH,688188,柏楚电子,软件服务,7.0,71.11,"中国建设银行股份有限公司-交银施罗德稳健配置混合型证券投资基金
中国建设银行股份有限公司-交银施罗德蓝筹混合型证券投资基金
中国农业银行股份有限公司-交银施罗德瑞思三年封闭运作混合型证券投资基金
中国工商银行-易方达价值成长混合型证券投资基金
中国农业银行股份有限公司-交银施罗德数据产业灵活配置混合型证券投资基金
中国农业银行股份有限公司-交银施罗德先进制造混合型证券投资基金
中国建设银行股份有限公司-易方达国防军工混合型证券投资基金
中国农业银行股份有限公司-交银施罗德成长混合型证券投资基金
中国建设银行股份有限公司-易方达创新驱动灵活配置混合型证券投资基金
中国工商银行-汇添富成长焦点混合型证券投资基金
交通银行股份有限公司-易方达高端制造混合型发起式证券投资基金
招商银行股份有限公司-兴全合泰混合型证券投资基金
中国工商银行股份有限公司-易方达新兴成长灵活配置混合型证券投资基金",13.0
32,603678.SH,603678,火炬电子,元器件,7.0,231.18,"汇添富基金管理股份有限公司-社保基金四二三组合
中国建设银行股份有限公司-鹏华中证国防指数分级证券投资基金
广发证券股份有限公司-中庚小盘价值股票型证券投资基金
中国建设银行股份有限公司-富国中证军工指数分级证券投资基金
全国社保基金四一三组合
华泰证券股份有限公司-中庚价值领航混合型证券投资基金
光大永明资管-兴业银行-光大永明资产聚财121号定向资产管理产品",7.0
33,603535.SH,603535,嘉诚国际,仓储物流,7.0,62.85,上海大筝资产管理有限公司-大筝稳健增长1号私募基金,1.0
34,600006.SH,600006,东风汽车,汽车整车,6.0,140.0,"中央汇金资产管理有限责任公司
招商银行股份有限公司-博时中证央企创新驱动交易型开放式指数证券投资基金
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
中国农业银行股份有限公司-华夏中证央企结构调整交易型开放式指数证券投资基金
招商银行股份有限公司-博时中证央企结构调整交易型开放式指数证券投资基金
中国银行股份有限公司-嘉实中证央企创新驱动交易型开放式指数证券投资基金",6.0
35,000625.SZ,000625,长安汽车,汽车整车,6.0,811.33,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
中国工商银行-易方达价值成长混合型证券投资基金",3.0
36,300405.SZ,300405,科隆股份,化工原料,6.0,15.99,"上海银叶阶跃资产管理有限公司-银叶阶跃定增1号私募基金
中天证券-辽阳市国有资产经营(集团)有限公司-中天证券天沃1号单一资产管理计划
中央汇金资产管理有限责任公司",3.0
37,300415.SZ,300415,伊之密,专用机械,6.0,54.31,"施罗德投资管理(香港)有限公司-施罗德环球基金系列中国优势(交易所)
中国银行股份有限公司-东方红睿华沪港深灵活配置混合型证券投资基金(LOF)",2.0
38,000729.SZ,000729,燕京啤酒,啤酒,6.0,215.81,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
上海重阳战略投资有限公司-重阳战略聚智基金
上海重阳战略投资有限公司-重阳战略汇智基金",4.0
39,300796.SZ,300796,贝斯美,化工原料,6.0,15.83,,0.0
40,300392.SZ,300392,腾信股份,互联网,6.0,27.14,青岛浩基资产管理有限公司,1.0
41,600729.SH,600729,重庆百货,百货,6.0,126.64,"中央汇金资产管理有限责任公司
国泰基金管理有限公司-社保基金四二一组合
招商银行股份有限公司-中欧恒利三年定期开放混合型证券投资基金
兴业银行股份有限公司-工银瑞信文体产业股票型证券投资基金
博时基金管理有限公司-社保基金四一九组合
中国工商银行股份有限公司-富国天惠精选成长混合型证券投资基金(LOF)
中国工商银行股份有限公司-诺安价值增长混合型证券投资基金
香港中央结算有限公司(陆股通)",8.0
42,000589.SZ,000589,贵州轮胎,汽车配件,6.0,53.35,深圳抱朴容易资产管理有限公司-抱朴容易7号私募证券投资基金,1.0
43,002919.SZ,002919,名臣健康,日用化工,6.0,17.13,,0.0
44,300508.SZ,300508,维宏股份,软件服务,6.0,11.83,,0.0
45,300743.SZ,300743,天地数码,IT设备,6.0,10.69,,0.0
46,300337.SZ,300337,银邦股份,铝,6.0,45.97,,0.0
47,300736.SZ,300736,百邦科技,通信设备,6.0,9.72,,0.0
48,300561.SZ,300561,汇金科技,软件服务,6.0,27.28,,0.0
49,300588.SZ,300588,熙菱信息,软件服务,6.0,12.53,,0.0
50,300641.SZ,300641,正丹股份,化工原料,6.0,33.29,,0.0
51,300644.SZ,300644,南京聚隆,塑料,6.0,17.02,南京高达梧桐创业投资基金(有限合伙),1.0
52,300650.SZ,300650,太龙照明,电气设备,6.0,13.68,华宝信托有限责任公司-华宝-泰隆1号证券投资信托计划,1.0
53,300539.SZ,300539,横河模具,塑料,6.0,10.36,,0.0
54,300218.SZ,300218,安利股份,塑料,6.0,25.65,"中央汇金资产管理有限责任公司
北京燕赵汇金国际投资有限责任公司-汇金壹号私募证券投资基金",2.0
55,300335.SZ,300335,迪森股份,供气供热,6.0,20.47,中央汇金资产管理有限责任公司,1.0
56,002245.SZ,002245,澳洋顺昌,仓储物流,6.0,79.05,华润深国投信托有限公司-华润信托·昀沣9号集合资金信托计划,1.0
57,603896.SH,603896,寿仙谷,中成药,6.0,66.81,,0.0
58,002576.SZ,002576,通达动力,电气设备,6.0,22.48,,0.0
59,300258.SZ,300258,精锻科技,汽车配件,6.0,73.47,"中央汇金资产管理有限责任公司
招商银行股份有限公司-中欧恒利三年定期开放混合型证券投资基金
中国工商银行股份有限公司-嘉实智能汽车股票型证券投资基金
中欧基金-民生银行-上海海通证券资产管理有限公司
中国建设银行股份有限公司-中欧价值发现股票型证券投资基金",5.0
60,603959.SH,603959,百利科技,建筑工程,6.0,55.23,"吉林成朴丰祥股权投资基金合伙企业(有限合伙)
吉林雨田股权投资基金合伙企业(有限合伙)
国通信托有限责任公司-国通信托·百华1号证券投资单一资金信托
陕西金资基金管理有限公司-陕西铜川金锂产业发展基金(有限合伙)
上海淮矿资产管理有限公司
盈科创新资产管理有限公司
香港中央结算有限公司(陆股通)",7.0
61,300288.SZ,300288,朗玛信息,软件服务,6.0,27.68,广州市玄元投资管理有限公司-玄元定增精选证券投资基金,1.0
62,300295.SZ,300295,三六五网,互联网,6.0,22.46,"芜湖弘唯基石投资基金管理合伙企业(有限合伙)-弘唯基石盛世优选3号私募投资基金
芜湖弘唯基石投资基金管理合伙企业(有限合伙)-弘唯基石盛世优选1号私募投资基金",2.0
63,002096.SZ,002096,南岭民爆,化工原料,6.0,51.77,"华菱津杉(天津)产业投资基金合伙企业(有限合伙)
华菱津杉(天津)产业投资基金合伙企业(有限合伙
中央汇金资产管理有限责任公司",3.0
64,603416.SH,603416,信捷电气,电气设备,5.0,77.39,"上海浦东发展银行股份有限公司-易方达裕祥回报债券型证券投资基金
中国建设银行股份有限公司-交银施罗德阿尔法核心混合型证券投资基金
中国农业银行股份有限公司-交银施罗德先进制造混合型证券投资基金
全国社保基金五零二组合
中国工商银行股份有限公司-交银施罗德优势行业灵活配置混合型证券投资基金",5.0
65,300742.SZ,300742,越博动力,汽车配件,5.0,14.26,"招商证券股份有限公司-平安中证新能源汽车产业交易型开放式指数证券投资基金
上海汉王歌石股权投资基金合伙企业(有限合伙)
上海歌石股权投资基金合伙企业(有限合伙)
伊犁苏新投资基金合伙企业(有限合伙)",4.0
66,603028.SH,603028,赛福天,钢加工,5.0,27.07,,0.0
67,603026.SH,603026,石大胜华,化工原料,5.0,110.42,"全国社保基金一一三组合
中国工商银行股份有限公司-中欧时代先锋股票型发起式证券投资基金
中国邮政储蓄银行有限责任公司-中欧中小盘股票型证券投资基金(LOF)
上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金
中国建设银行股份有限公司-信达澳银新能源产业股票型证券投资基金
中国银行股份有限公司-华商龙头优势混合型证券投资基金",6.0
68,603010.SH,603010,万盛股份,化工原料,5.0,78.08,,0.0
69,601966.SH,601966,玲珑轮胎,汽车配件,5.0,423.52,"招商银行股份有限公司-富兰克林国海基本面优选混合型证券投资基金
全国社保基金四一八组合
中国银行股份有限公司-富兰克林国海中小盘股票型证券投资基金
全国社保基金一零一组合
中国农业银行股份有限公司-富兰克林国海弹性市值混合型证券投资基金
香港中央结算有限公司(陆股通)",6.0
70,300722.SZ,300722,新余国科,专用机械,5.0,89.33,"中国建设银行股份有限公司-富国中证军工指数分级证券投资基金
中国建设银行股份有限公司-国泰中证军工交易型开放式指数证券投资基金",2.0
71,688002.SH,688002,睿创微纳,通信设备,5.0,201.09,"中国银行股份有限公司-泰信中小盘精选股票型证券投资基金
全国社保基金一一八组合
中国建设银行股份有限公司-景顺长城环保优势股票型证券投资基金
中国工商银行股份有限公司-景顺长城创新成长混合型证券投资基金
中信证券-建设银行-中信证券臻选价值成长混合型集合资产管理计划
平安基金-中国平安人寿保险股份有限公司-分红-个险分红-平安人寿-平安基金权益委托投资2号单一资产管理计划
中国银行股份有限公司-景顺长城优选混合型证券投资基金
中国工商银行股份有限公司-嘉实企业变革股票型证券投资基金
招商银行股份有限公司-睿远成长价值混合型证券投资基金
招商银行股份有限公司-交银施罗德创新领航混合型证券投资基金
中信证券-中信银行-中信证券红利价值一年持有混合型集合资产管理计划
中国光大银行股份有限公司-泰信先行策略开放式证券投资基金",12.0
72,601919.SH,601919,中远海控,水运,5.0,847.55,中国国有企业结构调整基金股份有限公司,1.0
73,601858.SH,601858,中国科传,出版业,5.0,80.16,"国泰基金管理有限公司-社保基金四二一组合
香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-景顺长城沪深300指数增强型证券投资基金
全国社会保障基金理事会转持一户",4.0
74,300656.SZ,300656,民德电子,IT设备,5.0,25.33,,0.0
75,601717.SH,601717,郑煤机,汽车配件,5.0,178.86,"中央汇金资产管理有限责任公司
百瑞信托有限责任公司
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
河南资产管理有限公司
香港中央结算有限公司(陆股通)",5.0
76,601628.SH,601628,中国人寿,保险,5.0,8808.35,"中央汇金资产管理有限责任公司
汇添富基金-工商银行-汇添富-添富牛53号资产管理计划
中国工商银行-上证50交易型开放式指数证券投资基金
交通银行股份有限公司-永赢科技驱动混合型证券投资基金
香港中央结算有限公司(陆股通)",5.0
77,300763.SZ,300763,锦浪科技,电气设备,5.0,57.99,"中国工商银行股份有限公司-广发制造业精选混合型证券投资基金
西藏源乐晟资产管理有限公司-源乐晟新恒晟私募证券投资基金
西藏源乐晟资产管理有限公司-源乐晟-晟世8号私募证券投资基金
中信信托有限责任公司-中信信托锐进58期源乐晟投资集合资金信托计划
上海浦东发展银行股份有限公司-广发高端制造股票型发起式证券投资基金
中国农业银行股份有限公司-广发科创主题3年封闭运作灵活配置混合型证券投资基金
中信银行股份有限公司-中银智能制造股票型证券投资基金
中国工商银行-南方绩优成长股票型证券投资基金",8.0
78,600761.SH,600761,安徽合力,工程机械,5.0,116.95,"中央汇金资产管理有限责任公司
基本养老保险基金一零零三组合
全国社保基金一一三组合
上海宽远资产管理有限公司-宽远价值进取证券投资基金
中欧基金-农业银行-中欧中证金融资产管理计划
首域投资管理(英国)有限公司-首域中国A股基金
嘉实基金-农业银行-嘉实中证金融资产管理计划",7.0
79,601336.SH,601336,新华保险,保险,5.0,1243.55,"中央汇金资产管理有限责任公司
中央汇金投资有限责任公司
华夏基金-农业银行-华夏中证金融资产管理计划
大成基金-农业银行-大成中证金融资产管理计划
交通银行股份有限公司-永赢科技驱动混合型证券投资基金
香港中央结算有限公司(陆股通)
全国社保基金一一零组合",7.0
80,601225.SH,601225,陕西煤业,煤炭开采,5.0,993.0,"香港中央结算有限公司(陆股通)
黄河矿业-天风证券-20黄河EB担保及信托财产专户
汇添富基金-兴业银行-三峡资本控股有限责任公司",3.0
81,600031.SH,600031,三一重工,工程机械,5.0,2457.11,"中央汇金资产管理有限责任公司
全国社保基金一零二组合
全国社保基金一零四组合
全国社保基金一一二组合
香港中央结算有限公司(陆股通)",5.0
82,600066.SH,600066,宇通客车,汽车整车,5.0,384.56,"上海浦东发展银行股份有限公司-易方达裕祥回报债券型证券投资基金
易方达基金管理有限公司-社保基金1104组合
中国银行股份有限公司-华夏中证新能源汽车交易型开放式指数证券投资基金
中国银行股份有限公司-易方达中小盘混合型证券投资基金
香港中央结算有限公司(陆股通)",5.0
83,600121.SH,600121,郑州煤电,煤炭开采,5.0,28.39,中国银行股份有限公司-招商中证煤炭等权指数分级证券投资基金,1.0
84,600660.SH,600660,福耀玻璃,汽车配件,5.0,819.02,"香港中央结算有限公司(陆股通)
汇添富基金管理股份有限公司-社保基金1103组合
河仁慈善基金会",3.0
85,600741.SH,600741,华域汽车,汽车配件,5.0,1063.1,"中央汇金资产管理有限责任公司
中国工商银行股份有限公司-中欧时代先锋股票型发起式证券投资基金
中国工商银行股份有限公司-东方红沪港深灵活配置混合型证券投资基金
全国社保基金一零一组合
招商银行股份有限公司-东方红睿丰灵活配置混合型证券投资基金(LOF)
全国社保基金一一六组合
中国工商银行股份有限公司-中证上海国企交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)
基本养老保险基金八零二组合
中国银行股份有限公司-东方红睿华沪港深灵活配置混合型证券投资基金(LOF)",10.0
86,000039.SZ,000039,中集集团,轻工机械,5.0,238.73,"中央汇金资产管理有限责任公司
工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划
大成基金-农业银行-大成中证金融资产管理计划
中欧基金-农业银行-中欧中证金融资产管理计划
易方达基金-农业银行-易方达中证金融资产管理计划
香港中央结算有限公司(陆股通)
银华基金-农业银行-银华中证金融资产管理计划",7.0
87,300652.SZ,300652,雷迪克,汽车配件,5.0,21.91,南京雷奥投资管理有限公司-雷奥2期证券投资基金,1.0
88,300062.SZ,300062,中能电气,电气设备,5.0,31.64,,0.0
89,300157.SZ,300157,恒泰艾普,石油开采,5.0,34.36,,0.0
90,300150.SZ,300150,世纪瑞尔,软件服务,5.0,28.37,"光大永明资管-兴业银行-光大永明资产聚财121号定向资产管理产品
山东铁路发展基金有限公司",2.0
91,300135.SZ,300135,宝利国际,化工原料,5.0,29.21,中国建设银行股份有限公司-广发中证全指建筑材料指数型发起式证券投资基金,1.0
92,300114.SZ,300114,中航电测,电器仪表,5.0,89.2,"中国建设银行股份有限公司-富国中证军工龙头交易型开放式指数证券投资基金
全国社保基金六零四组合",2.0
93,300110.SZ,300110,华仁药业,化学制药,5.0,61.58,"鹏华资产-浦发银行-鹏华资产方圆6号资产管理计划
鹏华资产-浦发银行-鹏华资产方圆5号资产管理计划",2.0
94,300100.SZ,300100,双林股份,汽车服务,5.0,60.07,,0.0
95,300096.SZ,300096,易联众,软件服务,5.0,34.64,西藏五维资产管理有限公司,1.0
96,300072.SZ,300072,三聚环保,环境保护,5.0,155.76,"香港中央结算有限公司(陆股通)
中国工商银行股份有限公司-易方达创业板交易型开放式指数证券投资基金
中国对外经济贸易信托有限公司-昀沣证券投资集合资金信托计划",3.0
97,300067.SZ,300067,安诺其,染料涂料,5.0,34.26,"中央汇金资产管理有限责任公司
鹏华资产-浦发银行-粤财信托-粤财信托-菁英163期单一资金信托计划",2.0
98,002747.SZ,002747,埃斯顿,机械基件,5.0,177.26,"香港中央结算有限公司(陆股通)
派雷斯特-申万宏源承销保荐-19派雷EB01担保及信托财产专户",2.0
99,300593.SZ,300593,新雷能,电气设备,5.0,26.96,"中国建设银行股份有限公司-交银施罗德经济新动力混合型证券投资基金
中信银行股份有限公司-交银施罗德新生活力灵活配置混合型证券投资基金",2.0
100,002729.SZ,002729,好利来,元器件,5.0,34.11,"中央汇金资产管理有限责任公司
中国银行股份有限公司-华夏鼎沛债券型证券投资基金
中国建设银行股份有限公司-华夏盛世精选混合型证券投资基金",3.0
101,002648.SZ,002648,卫星石化,化工原料,5.0,275.51,"长城(天津)股权投资基金管理有限责任公司-长城国泰-高端装备并购契约型私募投资基金
中国工商银行-嘉实策略增长混合型证券投资基金
中国农业银行股份有限公司-交银施罗德瑞思三年封闭运作混合型证券投资基金
中国建设银行股份有限公司-前海开源再融资主题精选股票型证券投资基金
中国建设银行股份有限公司-富国低碳新经济混合型证券投资基金
香港中央结算有限公司(陆股通)",6.0
102,002563.SZ,002563,森马服饰,服饰,5.0,160.25,"交通银行股份有限公司-国泰金鹰增长灵活配置混合型证券投资基金
全国社保基金一一一组合",2.0
103,002487.SZ,002487,大金重工,钢加工,5.0,50.26,"中国农业银行股份有限公司-工银瑞信战略转型主题股票型证券投资基金
中金公司-建设银行-中金新锐股票型集合资产管理计划
全国社保基金一一八组合
中国建设银行股份有限公司-长城量化小盘股票型证券投资基金",4.0
104,002438.SZ,002438,江苏神通,机械基件,5.0,53.17,中国工商银行股份有限公司-诺安先锋混合型证券投资基金,1.0
105,002415.SZ,002415,海康威视,电器仪表,5.0,3817.79,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)",2.0
106,002362.SZ,002362,汉王科技,软件服务,5.0,46.2,"中央汇金资产管理有限责任公司
领航投资澳洲有限公司-领航新兴市场股指基金(交易所)",2.0
107,000581.SZ,000581,威孚高科,汽车配件,5.0,218.57,"中央汇金资产管理有限责任公司
基本养老保险基金一零零三组合
全国社保基金四一三组合
全国社保基金一零三组合
全国社保基金四零三组合
全国社保基金一零七组合
香港中央结算有限公司(陆股通)",7.0
108,000552.SZ,000552,靖远煤电,煤炭开采,5.0,65.09,"诺安基金-兴业证券-中国光大银行股份有限公司
平安大华基金-平安银行-中融国际信托-财富骐骥定增5号集合资金信托计划",2.0
109,300207.SZ,300207,欣旺达,元器件,5.0,393.55,"全国社保基金一零八组合
北信瑞丰基金-招商银行-北信瑞丰基金丰悦45号资产管理计划
中国建设银行股份有限公司-信达澳银新能源产业股票型证券投资基金
北信瑞丰基金-招商银行-北信瑞丰基金-爱奇新能源资产管理计划
中国工商银行股份有限公司-景顺长城创新成长混合型证券投资基金
中国银行股份有限公司-景顺长城优选混合型证券投资基金
中国银行股份有限公司-华夏中证新能源汽车交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)
招商银行股份有限公司-兴全合泰混合型证券投资基金
广发基金管理有限公司-社保基金四二零组合",10.0
110,300217.SZ,300217,东方电热,电器仪表,5.0,37.54,中央汇金资产管理有限责任公司,1.0
111,300237.SZ,300237,美晨生态,建筑工程,5.0,49.1,"陕西省国际信托股份有限公司-陕国投·金元宝68号证券投资集合资金信托计划
九泰基金-浦发银行-九泰基金-恒胜新动力分级1号资产管理计划",2.0
112,300239.SZ,300239,东宝生物,生物制药,5.0,30.65,"中央汇金资产管理有限责任公司
内蒙古金融资产管理有限公司
中科先行(北京)资产管理有限公司
中国华融资产管理股份有限公司",4.0
113,300556.SZ,300556,丝路视觉,软件服务,5.0,19.34,中国文化产业投资基金(有限合伙),1.0
114,300547.SZ,300547,川环科技,橡胶,5.0,19.11,,0.0
115,300540.SZ,300540,深冷股份,专用机械,5.0,21.94,,0.0
116,300535.SZ,300535,达威股份,化工原料,5.0,14.31,,0.0
117,300513.SZ,300513,恒实科技,软件服务,5.0,34.65,"天泽吉富资产管理有限公司
广发银行股份有限公司-国泰聚信价值优势灵活配置混合型证券投资基金",2.0
118,300475.SZ,300475,聚隆科技,专用机械,5.0,36.74,"深圳市领信基石股权投资基金管理合伙企业(有限合伙)-深圳市领泰基石投资合伙企业(有限合伙)
深圳市领信基石股权投资基金管理合伙企业(有限合伙)-深圳市领汇基石股权投资基金合伙企业(有限合伙)
芜湖弘唯基石投资基金管理合伙企业(有限合伙)-弘唯基石华盈私募投资基金
深圳市领信基石股权投资基金管理合伙企业(有限合伙)-深圳市领驰基石股权投资基金合伙企业(有限合伙)",4.0
119,300471.SZ,300471,厚普股份,专用机械,5.0,32.48,上海阿杏投资管理有限公司-阿杏锦绣私募证券投资基金,1.0
